40,-75.246480,-75.241920,1.000000,-75.221720
46.241000,0.976560,-75.198750,-75.193750,1.000000,-75.181250
46.242000,1.025390,-75.198590,-75.193580,1.000000,-75.181110
46.243000,0.976560,-75.198430,-75.193420,1.000000,-75.180980
46.244000,1.005860,-75.198250,-75.193250,1.000000,-75.180840
46.245000,0.986330,-75.198090,-75.193080,1.000000,-75.180730
46.258000,0.996090,-75.195950,-75.190920,1.000000,-75.178870
46.259000,1.025390,-75.195780,-75.190750,1.000000,-75.178720
46.261000,1.015630,-75.195440,-75.190420,1.000000,-75.178450
46.262000,1.025390,-75.195270,-75.190250,1.000000,-75.178290
46.263000,1.015630,-75.195090,-75.190080,1.000000,-75.178140
46.264000,0.996090,-75.194920,-75.189920,1.000000,-75.178010
46.265000,1.015630,-75.194750,-75.189750,1.000000,-75.177880
46.266000,1.005860,-75.194580,-75.189580,1.000000,-75.177730
46.267000,0.996090,-75.194420,-75.189410,1.000000,-75.177580
46.268000,0.996090,-75.194240,-75.189250,1.000000,-75.177460
46.269000,0.996090,-75.194080,-75.189080,1.000000,-75.177320
46.270000,1.005860,-75.193910,-75.188920,1.000000,-75.177190
46.271000,1.025390,-75.193750,-75.188750,1.000000,-75.177050
46.272000,0.996090,-75.193580,-75.188580,1.000000,-75.176900
46.273000,1.005860,-75.193420,-75.188420,1.000000,-75.176770
46.274000,1.015630,-75.193250,-75.188250,1.000000,-75.176670
46.275000,1.035160,-75.193080,-75.188080,1.000000,-75.176530
46.276000,1.005860,-75.192910,-75.187920,1.000000,-75.176420
46.277000,0.986330,-75.192740,-75.187750,1.000000,-75.176270
46.278000,0.986330,-75.192570,-75.187580,1.000000,-75.176150
46.294000,1.015630,-75.189910,-75.184920,1.000000,-75.173700
46.295000,1.005860,-75.189750,-75.184750,1.000000,-75.173550
46.297000,1.025390,-75.189420,-75.184420,1.000000,-75.173230
46.298000,0.966800,-75.189250,-75.184250,1.000000,-75.173090
46.299000,0.986330,-75.189090,-75.184080,1.000000,-75.172950
46.300000,1.005860,-75.188930,-75.183920,1.000000,-75.172790
46.301000,1.025390,-75.188760,-75.183750,1.000000,-75.172650
